_id,name,brand,manufacturer,PriorityIndex,category,subCategory,margin,margin%,sp,mrp,availability,limit,DealerPrice,JioMartPrice,BigBasketPrice,GrofersPrice,discount,gst,weight,description,imageUrl,productImageUrl
ObjectId(5ffb514e80ef0812f2708250),Choclairs Gold Jar,Cadbury,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,22.4,10,202,224,N,10,201.6,184,179,179,10,18,118 units,"Fill up your day with the best of caramel filled chocolates with this amazing Cadbury choclairs gold. Made of premium quality ingredients, these chocolates will make both your taste buds and your soul filled up with a feeling of fulfilment.",,https://images-na.ssl-images-amazon.com/images/I/61ewIUhMdqL._SY879_.jpg
ObjectId(5ffb514e80ef0812f2708251),Choclairs Gold Jar,Cadbury,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,44.8,10,403,448,N,10,403.2,358,358,358,10,18,236 units,"Fill up your day with the best of caramel filled chocolates with this amazing Cadbury choclairs gold. Made of premium quality ingredients, these chocolates will make both your taste buds and your soul filled up with a feeling of fulfilment.",,https://images-na.ssl-images-amazon.com/images/I/61ewIUhMdqL._SY879_.jpg
ObjectId(5ffb514e80ef0812f2708252),Choclairs Gold Jar,Cadbury,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,56,10,504,560,N,10,504,448,448,448,10,18,430 units,"Fill up your day with the best of caramel filled chocolates with this amazing Cadbury choclairs gold. Made of premium quality ingredients, these chocolates will make both your taste buds and your soul filled up with a feeling of fulfilment.",,https://images-na.ssl-images-amazon.com/images/I/61ewIUhMdqL._SY879_.jpg
ObjectId(5ffb514e80ef0812f2708253),Choclairs Bday Pack,Cadbury,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,20,10,180,200,N,10,180,160,160,160,10,18,115 units,Bring home your favourite chocolairs in a super saver birthday pack perfect for birthday parties. The luscious new and big candy contains an indulgent brownie flavour in its caramel and rich cadbury chocolate at its centre.,,https://images-na.ssl-images-amazon.com/images/I/71trSMx8KaL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708254),Choclairs Home Treats,Cadbury,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,10,10,90,100,Y,10,90,80,80,80,10,18,48 units,Bring home your favourite chocolairs in a super saver home pack perfect for birthday parties. The luscious new and big candy contains an indulgent brownie flavour in its caramel and rich Cadbury chocolate at its centre.,,https://images-na.ssl-images-amazon.com/images/I/71pdzyfNErL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708255),Halls Assorted Pouch,Halls,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,11.5,10,104,115,N,10,103.5,92,92,92,10,18,118 units,Halls is used as a refreshing candy.,,https://images-na.ssl-images-amazon.com/images/I/71OTHXC%2BE7L._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708256),Halls Assorted Jar,Halls,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,11.2,10,101,112,N,10,100.8,90,90,90,10,18,115 Units,Halls is used as a refreshing candy.,,https://images-na.ssl-images-amazon.com/images/I/81kDU06kW%2BL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708257),Halls Assorted Jar,Halls,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,25.2,10,227,252,N,10,226.8,202,202,202,10,18,267 units,Halls is used as a refreshing candy.,,https://images-na.ssl-images-amazon.com/images/I/81kDU06kW%2BL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708258),Halls Assorted Jar,Halls,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,44.8,10,403,448,N,10,403.2,358,358,358,10,18,488 units,Halls is used as a refreshing candy.,,https://images-na.ssl-images-amazon.com/images/I/81kDU06kW%2BL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f2708259),Halls Assorted Jar,Halls,Mondelez india Foods Pvt Ltd,5,Confectionery and Snacks ,,84,10,756,840,N,10,756,672,672,672,10,18,945 units,Halls is used as a refreshing candy.,,https://images-na.ssl-images-amazon.com/images/I/81kDU06kW%2BL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f270825a),Tang Orange (Pack of 3),Tang,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,10.8,12,79,90,N,10,79.2,72,72,72,12,12,3x125g,"Tang comes in refreshing Orange flavor. Keep everyone refreshed this summer with Tang and its great fruit taste with the goodness of vitamins A, B, C and Iron. A glass (approximately 180ml) of Tang gives your child 60% of Vitamin C required for the entire day.",,https://5.imimg.com/data5/KR/KP/MY-9018916/tang-orange-flavoured-instant-drink-mix-125gm-500x500.png
ObjectId(5ffb514e80ef0812f270825b),Tang Orange,Tang,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,8.4,12,62,70,N,10,61.6,56,56,56,12,12,250g,"Tang comes in refreshing Orange flavor. Keep everyone refreshed this summer with Tang and its great fruit taste with the goodness of vitamins A, B, C and Iron. A glass (approximately 180ml) of Tang gives your child 60% of Vitamin C required for the entire day.",,https://images-na.ssl-images-amazon.com/images/I/71rtDNs7vJL._SL1500_.jpg
ObjectId(5ffb514e80ef0812f270825c),Tang Orange,Tang,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,13,12,119,135,Y,10,122,108,108,108,12,12,500g,"Tang comes in refreshing Orange flavor. Keep everyone refreshed this summer with Tang and its great fruit taste with the goodness of vitamins A, B, C and Iron. A glass (approximately 180ml) of Tang gives your child 60% of Vitamin C required for the entire day.",https://www.bigbasket.com/media/uploads/p/xxl/277253-7_1-tang-instant-drink-mix-orange.jpg,https://www.bigbasket.com/media/uploads/p/xxl/277253_10-tang-instant-drink-mix-orange.jpg
ObjectId(5ffb514e80ef0812f270825d),Tang Orange,Tang,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,22.8,12,167,190,Y,10,167.2,152,152,152,12,12,750gm,"Tang comes in refreshing Orange flavor. Keep everyone refreshed this summer with Tang and its great fruit taste with the goodness of vitamins A, B, C and Iron. A glass (approximately 180ml) of Tang gives your child 60% of Vitamin C required for the entire day.",,https://www.bigbasket.com/media/uploads/p/xxl/277253-7_1-tang-instant-drink-mix-orange.jpg
ObjectId(5ffb514e80ef0812f270825e),Tang Mosambi (Pack of 3),Tang,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,10.8,12,79,90,N,10,79.2,72,72,72,12,12,3x125g,Great fruit taste of Mosambi,,https://www.thegrocers.com/wp-content/uploads/2020/04/Tang-Mosambi-Sachet-125gm.jpg-256.jpg
ObjectId(5ffb514e80ef0812f270825f),Tang Mosambi,Tang,Mondelez india Foods Pvt Ltd,5,Beverages,Health drinks,16.2,12,119,135,Y,10,118.8,108,108,108,12,12,500g,Great fruit taste of Mosambi,https://images-na.ssl-images-amazon.com/images/I/71GKFXfxeEL._SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71VXMgKKgaL._SL1500_.jpg
